element_name,date,pick_count
B01,2024-01-15,450
B01,2024-01-16,380
B01,2024-01-17,520
B01,2024-01-18,410
B01,2024-01-19,490
B02,2024-01-15,120
B02,2024-01-16,95
B02,2024-01-17,140
B02,2024-01-18,110
B02,2024-01-19,130
B03,2024-01-15,780
B03,2024-01-16,820
B03,2024-01-17,750
B03,2024-01-18,890
B03,2024-01-19,810
B04,2024-01-15,25
B04,2024-01-16,30
B04,2024-01-17,18
B04,2024-01-18,22
B04,2024-01-19,28
B05,2024-01-15,340
B05,2024-01-16,310
B05,2024-01-17,365
B05,2024-01-18,320
B05,2024-01-19,355
B06,2024-01-15,620
B06,2024-01-16,580
B06,2024-01-17,650
B06,2024-01-18,595
B06,2024-01-19,615
